,dir/5WEKPBBWFKF47XDYW5QBC36KFVBYJFE5.pdf,dir/IM4NOHWT2KSDC4FBCAXQW722XG3AZCNP.pdf,dir/CS4O7BCLPRK6J5MKIK7BPBFC2UURCM7X.pdf,dir/HGJIJLL3ZVEO2ISTFZSKH53BIC2K3UYX.pdf,dir/BNAB3PKSEPVY6LVEMD6PZQXWXMDDTQ7U.pdf,dir/KAI53AEUTC4X3GRV6WZDEZUWVEYPTPPU.pdf,dir/6RWOLVNDX4CTI4PAGDGMWC3FFBTVW3TK.pdf,dir/LFGBSD5XRLBIZCRBVWTKQPP2JEVRWRRS.pdf,dir/EKWVDOMQ3BRDHPPTHV47A37AY2NUS7XK.pdf,dir/6A2V6MYYSW4C6QUKXJX7BEGNPYKZGV6O.pdf
b,"['174', '194', '343', '821', '911', '919']",[],[],['1145'],"['1147', '1304', '1346', '1476', '1999', '2076', '2300', '2373', '2414', '2447', '2668', '3507', '3844', '3878', '3882', '3886', '3903', '3907', '3923', '3924', '3927', '3928', '3938', '3939', '3942', '4077', '4081', '4100', '4101', '4104', '4117', '4118', '4121', '4123', '4204', '4228', '4236', '4240', '4263', '4279', '4297', '4380', '4381', '4384', '4388', '4394', '4399', '4403', '4405', '4419', '4423', '4438', '4507', '4511', '4527', '4528', '4531', '4533', '4640', '4641', '4644', '4655', '4746', '4751', '4770', '4771', '4774', '5977', '6003', '6552', '6822']",[],"['50', '92', '97', '99', '105', '152', '258', '319', '323', '336', '342', '421']","['39', '97', '114', '191', '193', '242']","['120', '631']",['1368']
pallon,['177'],[],[],[],[],[],[],[],[],[]
saxton,['178'],[],[],[],[],[],[],[],[],[]
torricelli,['179'],[],[],[],[],[],[],[],[],[]
it,['180'],[],[],"['1343', '1372']",['3691'],"['93', '317']",[],[],[],"['968', '1549', '1748', '1772']"
decid,['181'],[],[],[],"['1561', '1592', '1753', '5040']",[],[],[],[],['95']
yea,['182'],[],[],[],[],[],[],[],[],[]
panetta,['183'],[],[],[],[],[],[],[],[],[]
scheuer,['184'],[],[],[],[],[],[],[],[],[]
town,['185'],[],[],"['2413', '2451']",[],[],[],[],[],['146']
affirm,['186'],[],[],[],"['1001', '1179', '1183', '1198', '2365', '2385', '3002']",[],[],[],[],"['130', '1567', '1821']"
nay,['187'],[],[],[],[],[],[],[],[],[]
amount,"['188', '320']",[],[],['565'],"['191', '5737', '5876', '6009', '6134', '6149', '6808']",[],['305'],[],['219'],['577']
parker,['191'],[],[],[],[],[],[],[],[],[]
schiff,['192'],[],[],[],[],[],[],[],[],[]
unsoeld,['193'],[],[],[],[],[],[],[],[],[]
form,['196'],[],[],[],"['400', '418', '440', '1659', '3850', '3870', '3872', '3895', '3916', '3932', '3972', '4017', '4064', '4072', '4096', '4113', '4128', '4147', '4165', '4183', '4197', '4244', '4267', '4286', '4318', '4360', '4429', '4441', '4502', '4523', '4537', '4559', '4588', '4592', '4597', '4604', '4631', '4650', '4670', '4680', '4742', '4766', '4779', '4800', '4827', '4837', '5394', '6491', '6503', '6521']",[],['7'],['8'],[],['328']
assist,['197'],[],[],[],"['622', '1439', '1457', '2597', '2635', '6614']",['447'],[],[],"['499', '657']",['49']
pastor,['198'],[],[],[],[],[],[],[],[],[]
schroeder,['199'],[],[],[],[],[],[],[],[],[]
upton,['200'],[],[],[],[],[],[],[],[],[]
plan,['203'],[],[],['820'],[],"['249', '348', '381', '673', '799', '832', '835', '993']",[],[],[],[]
patterson,['204'],[],[],[],[],[],[],[],[],[]
schulz,['205'],[],[],[],[],[],[],[],[],[]
vander,['206'],[],[],[],[],[],[],[],[],[]
jagt,['207'],[],[],[],[],[],[],[],[],[]
roll,"['211', '864']",[],[],[],[],[],[],[],[],[]
no,"['212', '865']",[],[],['808'],"['29', '1640', '1649', '1672', '1712', '1722', '1816', '2044', '2122', '2499', '2935', '3265', '3268', '3337', '3605', '4363', '4804', '6089', '6095', '6728']",[],['3'],[],['668'],[]
paxon,['213'],[],[],[],[],[],[],[],[],[]
schumer,['214'],[],[],[],[],[],[],[],[],[]
vento,['215'],[],[],[],[],[],[],[],[],[]
later,['217'],[],[],[],"['793', '844', '3090', '3114', '6729', '6767', '6835']",[],[],[],['669'],"['527', '794']"
end,['219'],[],[],"['1494', '2481']",['2664'],[],"['485', '558']",[],[],['168']
ayes,['220'],[],[],[],[],[],[],[],[],[]
payn,"['221', '228']",[],[],[],[],[],[],[],[],[]
nj,"['222', '362', '437', '927']",[],[],[],[],[],[],[],[],[]
serrano,['223'],[],[],[],[],[],[],[],[],[]
viscloski,['224'],[],[],[],[],[],[],[],[],[]
quarter,['225'],[],[],[],[],[],[],[],[],[]
va,['229'],[],[],[],[],[],[],[],[],[]
sharp,['230'],[],[],[],[],[],[],[],[],[]
vucanovich,['231'],[],[],[],[],[],[],[],[],[]
abercrombi,"['232', '872']",[],[],[],[],[],[],[],[],[]
dooley,['233'],[],[],[],[],[],[],[],[],[]
johnson,"['234', '245', '506']",[],[],[],[],[],[],[],[],[]
ct,"['235', '601']",[],[],[],[],[],[],[],[],"['853', '870', '1100', '1238', '1451']"
peas,['236'],[],[],[],[],[],[],[],[],[]
shaw,['237'],[],[],[],[],[],[],[],[],[]
washington,['238'],[],[],['9'],[],[],[],[],[],['40']
alexand,"['242', '878']",[],[],[],['2992'],[],[],[],[],[]
dorgan,['243'],[],[],[],[],[],[],[],[],[]
nd,['244'],[],[],[],['3340'],[],[],[],[],[]
sd,['246'],[],[],[],"['344', '3080', '5744']",[],[],[],[],[]
pelosi,['247'],[],[],[],[],[],[],[],[],[]
shay,['248'],[],[],[],[],[],[],[],[],[]
waxman,['249'],[],[],[],[],[],[],[],[],[]
energi,"['251', '457']",[],[],[],[],[],[],['4'],[],[]
allard,"['254', '884']",[],[],[],[],[],[],[],[],[]
downey,['255'],[],[],[],[],[],[],[],[],[]
johnston,['256'],[],[],[],[],[],[],[],[],[]
penni,['257'],[],[],[],[],[],[],[],[],[]
shuster,['258'],[],[],[],[],[],[],[],[],[]
weber,['259'],[],[],[],[],[],[],[],[],[]
sub,"['263', '417']",[],[],[],[],[],[],[],[],[]
anderson,"['264', '905']",[],[],[],['1693'],[],[],[],[],"['15', '17']"
dreier,['265'],[],[],[],[],[],[],[],[],[]
jone,"['266', '665']",[],[],[],[],[],[],[],[],[]
peterson,"['268', '281']",[],[],[],[],[],[],[],[],[]
fl,"['269', '341', '387', '455', '496']",[],[],[],[],[],[],[],[],[]
sikorski,['270'],[],[],[],[],[],[],[],[],[]
weiss,['271'],[],[],[],[],[],[],[],[],[]
re,"['276', '637']",[],[],[],[],[],[],[],[],[]
andrew,"['277', '290', '436', '915', '926', '934']",[],[],[],[],[],[],[],[],[]
me,"['278', '916']",[],[],[],[],[],[],[],[],[]
durbin,['279'],[],[],[],[],[],[],[],[],[]
kanjorski,['280'],[],[],[],[],[],[],[],[],[]
mn,['282'],[],[],[],[],[],[],[],[],[]
sisiski,['283'],[],[],[],[],[],[],[],[],[]
weldon,['284'],[],[],[],[],[],[],[],[],[]
duce,"['285', '644']",[],[],[],[],[],[],[],[],[]
nuclear,"['286', '547', '724', '738', '840']",[],[],[],[],[],[],[],[],[]
prolifer,"['287', '615', '670']",[],[],[],[],[],[],[],[],[]
threat,"['288', '548', '607', '645', '723', '739', '784', '841']",[],[],[],[],[],[],[],[],['1141']
carri,['289'],[],[],[],['1784'],['657'],[],[],[],['287']
tx,"['291', '372', '449', '507', '690', '719', '935']",[],[],[],[],[],[],[],[],[]
