,dir/5WEKPBBWFKF47XDYW5QBC36KFVBYJFE5.pdf,dir/IM4NOHWT2KSDC4FBCAXQW722XG3AZCNP.pdf,dir/CS4O7BCLPRK6J5MKIK7BPBFC2UURCM7X.pdf,dir/HGJIJLL3ZVEO2ISTFZSKH53BIC2K3UYX.pdf,dir/BNAB3PKSEPVY6LVEMD6PZQXWXMDDTQ7U.pdf,dir/KAI53AEUTC4X3GRV6WZDEZUWVEYPTPPU.pdf,dir/6RWOLVNDX4CTI4PAGDGMWC3FFBTVW3TK.pdf,dir/LFGBSD5XRLBIZCRBVWTKQPP2JEVRWRRS.pdf,dir/EKWVDOMQ3BRDHPPTHV47A37AY2NUS7XK.pdf,dir/6A2V6MYYSW4C6QUKXJX7BEGNPYKZGV6O.pdf
ticular,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
program,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
pro,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
pose,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
deriv,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
b,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
pallon,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
saxton,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
torricelli,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
it,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
decid,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
yea,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
panetta,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scheuer,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
town,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
affirm,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
nay,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
amount,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
parker,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
schiff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unsoeld,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
form,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
assist,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
pastor,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
schroeder,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
upton,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plan,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
patterson,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
schulz,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vander,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jagt,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
roll,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
