,dir/5WEKPBBWFKF47XDYW5QBC36KFVBYJFE5.pdf,dir/IM4NOHWT2KSDC4FBCAXQW722XG3AZCNP.pdf,dir/CS4O7BCLPRK6J5MKIK7BPBFC2UURCM7X.pdf,dir/HGJIJLL3ZVEO2ISTFZSKH53BIC2K3UYX.pdf,dir/BNAB3PKSEPVY6LVEMD6PZQXWXMDDTQ7U.pdf,dir/KAI53AEUTC4X3GRV6WZDEZUWVEYPTPPU.pdf,dir/6RWOLVNDX4CTI4PAGDGMWC3FFBTVW3TK.pdf,dir/LFGBSD5XRLBIZCRBVWTKQPP2JEVRWRRS.pdf,dir/EKWVDOMQ3BRDHPPTHV47A37AY2NUS7XK.pdf,dir/6A2V6MYYSW4C6QUKXJX7BEGNPYKZGV6O.pdf
"('assistance', 'pastor')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('pastor', 'schroeder')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('schroeder', 'upton')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('upton', 'plans')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('plans', 'patterson')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('patterson', 'schulze')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('schulze', 'vander')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('vander', 'jagt')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('jagt', 'obligate')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('obligate', 'roll')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('roll', 'no')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('no', 'paxon')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('paxon', 'schumer')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('schumer', 'vento')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('vento', 'later')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('later', 'end')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('end', 'ayes')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('ayes', 'payne')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('payne', 'nj')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('nj', 'serrano')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('serrano', 'visclosky')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('visclosky', 'quarter')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('quarter', 'years')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('years', 'va')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('va', 'sharp')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('sharp', 'vucanovich')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('vucanovich', 'abercrombie')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('abercrombie', 'dooley')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('dooley', 'johnson')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('johnson', 'ct')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('ct', 'pease')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
